amostra,ph,temperatura,concentracao
A01,6.8,25.2,0.15
A02,7.1,26.5,0.18
A03,6.5,24.9,0.14
A04,6.9,25.8,0.16
A05,7.0,26.1,0.17
A06,6.7,25.5,0.15
A07,7.2,26.8,0.19
A08,6.6,25.0,0.14
A09,6.8,25.3,0.16
A10,7.3,27.0,0.20
A11,6.9,25.7,0.16
A12,7.0,26.0,0.17
A13,6.4,24.5,0.13
A14,6.7,25.4,0.15
A15,7.1,26.6,0.18
A16,6.5,24.8,0.14
A17,7.0,26.2,0.17
A18,6.8,25.6,0.16
A19,7.4,27.2,0.21
A20,6.6,25.1,0.15
A21,6.9,25.9,0.16
A22,7.2,26.7,0.19
A23,6.7,25.3,0.15
A24,7.1,26.4,0.18
A25,6.5,24.7,0.14
A26,6.8,25.5,0.16
A27,7.3,26.9,0.20
A28,6.6,25.2,0.15
A29,7.0,26.3,0.17
A30,6.9,25.8,0.16
A31,7.2,26.5,0.19
A32,6.4,24.6,0.13
A33,6.7,25.1,0.15
A34,7.1,26.8,0.18
A35,6.8,25.4,0.16
A36,7.0,26.0,0.17
A37,6.5,24.9,0.14
A38,7.3,27.1,0.20
A39,6.6,25.0,0.14
A40,6.9,25.7,0.16
A41,7.2,26.6,0.19
A42,6.7,25.2,0.15
A43,7.0,26.1,0.17
A44,6.4,24.8,0.13
A45,7.1,26.4,0.18
A46,6.8,25.5,0.16
A47,7.4,27.0,0.21
A48,6.5,24.7,0.14
A49,6.9,25.9,0.16
A50,7.0,26.2,0.17
